Z,A,BINDING ENERGY / A (keV)
66,140,8008
67,140,7906
52,141,8148
53,141,8206
54,141,8256.283
55,141,8294.351
56,141,8326.028
57,141,8343.264
58,141,8355.459
59,141,8354.029
60,141,8335.552
61,141,8303.94
62,141,8265.879
63,141,8217.691
64,141,8164.608
65,141,8097.475
66,141,8027
67,141,7943
52,142,8119
53,142,8172
54,142,8234.897
55,142,8264.881
56,142,8310.836
57,142,8320.902
58,142,8347.108
59,142,8336.347
60,142,8346.066
61,142,8306.766
62,142,8286.017
63,142,8226.472
64,142,8190.256
65,142,8115
66,142,8060
67,142,7966
53,143,8142
54,143,8199
55,143,8243.641
56,143,8281.977
57,143,8306.235
58,143,8324.715
59,143,8329.464
60,143,8330.524
61,143,8317.769
62,143,8288.224
63,143,8245.824
64,143,8198.326
65,143,8138.323
66,143,8076
67,143,8000
68,143,7919
53,144,8107
54,144,8176
55,144,8211.879
56,144,8265.467
57,144,8281.725
58,144,8314.795
59,144,8311.575
60,144,8326.959
61,144,8305.331
62,144,8303.723
63,144,8254.191
64,144,8221.937
65,144,8151.287
66,144,8105.69
67,144,8021
68,144,7958
54,145,8139
55,145,8188.751
56,145,8234.1
57,145,8267.131
58,145,8290.081
59,145,8302.168
60,145,8309.223
61,145,8302.701
62,145,8293.057
63,145,8269.321
64,145,8228.953
65,145,8174.961
66,145,8117.202
67,145,8049
68,145,7978
69,145,7891
54,146,8115
55,146,8157.557
56,146,8216.445
57,146,8239.325
58,146,8278.847
59,146,8280.6
60,146,8304.127
61,146,8288.692
62,146,8293.895
63,146,8261.964
64,146,8249.557
65,146,8187.186
66,146,8146.107
67,146,8065
68,146,8013
69,146,7916
54,147,8078
55,147,8132.475
56,147,8186
57,147,8222.709
58,147,8252.628
59,147,8270.612
60,147,8283.638
61,147,8284.411
62,147,8280.614
63,147,8263.58
64,147,8243.378
65,147,8206.688
66,147,8156.712
67,147,8094.584
68,147,8029
69,147,7951
55,148,8100.195
56,148,8167.277
57,148,8196.551
58,148,8240.335
59,148,8249.508
60,148,8277.213
61,148,8268.268
62,148,8279.673
63,148,8253.849
64,148,8248.382
65,148,8204.344
66,148,8180.943
67,148,8109.142
68,148,8061
69,148,7972
70,148,7906
55,149,8077
56,149,8136
57,149,8180
58,149,8214.397
59,149,8238.418
60,149,8255.479
61,149,8261.573
62,149,8263.508
63,149,8253.59
64,149,8239.527
65,149,8209.864
66,149,8179.238
67,149,8133.54
68,149,8074.955
69,149,8005
70,149,7929
55,150,8044
56,150,8117
57,150,8154
58,150,8200.968
59,150,8218.952
60,150,8249.643
61,150,8243.852
62,150,8261.663
63,150,8241.38
64,150,8242.641
65,150,8206.371
66,150,8189.198
67,150,8134.855
68,150,8102.206
69,150,8022
70,150,7964
71,150,7867
55,151,8020
56,151,8085
57,151,8136
58,151,8178.103
59,151,8207.823
60,151,8230.338
61,151,8241.331
62,151,8244.012
63,151,8239.339
64,151,8231.084
65,151,8208.913
66,151,8184.719
67,151,8145.588
68,151,8104.869
69,151,8050.124
70,151,7983.765
71,151,7903
56,152,8063
57,152,8107
58,152,8162
59,152,8187.433
60,152,8224.062
61,152,8226.18
62,152,8244.102
63,152,8226.624
64,152,8233.449
65,152,8202.052
66,152,8192.959
67,152,8144.942
68,152,8119.347
69,152,8056.769
70,152,8015.668
71,152,7926
56,153,8031
57,153,8087
58,153,8137
59,153,8172.43
60,153,8204.702
61,153,8221.392
62,153,8228.574
63,153,8228.74
64,153,8220.465
65,153,8205.093
66,153,8185.793
67,153,8153.684
68,153,8118.954
69,153,8071.536
70,153,8021
71,153,7959.3
72,153,7882
57,154,8057
58,154,8119
59,154,8149.519
60,154,8193.075
61,154,8206.221
62,154,8226.876
63,154,8217.139
64,154,8224.843
65,154,8196.703
66,154,8193.157
67,154,8150.713
68,154,8132.438
69,154,8074.222
70,154,8039.95
71,154,7968
72,154,7918
57,155,8034
58,155,8091
59,155,8133
60,155,8172
61,155,8195.511
62,155,8211.264
63,155,8216.715
64,155,8213.297
65,155,8202.942
66,155,8184.382
67,155,8159.204
68,155,8129.484
69,155,8088.436
70,155,8043.828
71,155,7987.495
72,155,7928
73,155,7856
58,156,8071
59,156,8108
60,156,8158.429
61,156,8177.068
62,156,8205.066
63,156,8204.682
64,156,8215.368
65,156,8194.682
66,156,8192.439
67,156,8154.249
68,156,8141.915
69,156,8089.637
70,156,8061.703
71,156,7995.697
72,156,7952.876
73,156,7871
58,157,8041
59,157,8089
60,157,8134
61,157,8164.631
62,157,8187.419
63,157,8199.85
64,157,8203.55
65,157,8198.184
66,157,8184.648
67,157,8163.111
68,157,8136.414
69,157,8101.428
70,157,8062.894
71,157,8013.588
72,157,7959
73,157,7896.268
59,158,8062
60,158,8119
61,158,8143.276
62,158,8177.059
63,158,8184.759
64,158,8201.865
65,158,8189.195
66,158,8190.16
67,158,8158.493
68,158,8147.926
69,158,8101.199
70,158,8079.232
71,158,8018.581
72,158,7981.286
73,158,7906
74,158,7855
59,159,8042
60,159,8092
61,159,8129
62,159,8157.53
63,159,8176.76
64,159,8187.659
65,159,8188.842
66,159,8181.623
67,159,8165.145
68,159,8142.813
69,159,8112.754
70,159,8078.101
71,159,8034.64
72,159,7986.566
73,159,7928.783
74,159,7866
60,160,8074
61,160,8105
62,160,8146
63,160,8159
64,160,8183.057
65,160,8177.507
66,160,8184.087
67,160,8158.635
68,160,8151.685
69,160,8110.82
70,160,8092.601
71,160,8038.338
72,160,8006.369
73,160,7938.593
74,160,7892.993
75,160,7809
60,161,8047
61,161,8088
62,161,8124
63,161,8149
64,161,8167.233
65,161,8174.52
66,161,8173.344
67,161,8163.153
68,161,8145.91
69,161,8120.49
70,161,8090.447
71,161,8052.781
72,161,8009.142
73,161,7957
74,161,7901
75,161,7836.532
61,162,8063
62,162,8110
63,162,8129
64,162,8159.077
65,162,8162.853
66,162,8173.49
67,162,8155.452
68,162,8152.447
69,162,8117.624
70,162,8102.597
71,162,8054.59
72,162,8027.145
73,162,7964.348
74,162,7923.837
75,162,7847
76,162,7794
61,163,8043
62,163,8086
63,163,8116
64,163,8141
65,163,8155.666
66,163,8161.818
67,163,8157.002
68,163,8144.78
69,163,8125.017
70,163,8099.17
71,163,8066.684
72,163,8028.11
73,163,7981.929
74,163,7930.308
75,163,7870.893
76,163,7805
62,164,8069
63,164,8095
64,164,8130
65,164,8139.797
66,164,8158.746
67,164,8147.963
68,164,8149.061
69,164,8119.528
70,164,8109.478
71,164,8065.803
72,164,8043.833
73,164,7986.997
74,164,7951.44
75,164,7882
76,164,7833.52
77,164,7748
62,165,8043
63,165,8079
64,165,8110
65,165,8131
66,165,8143.942
67,165,8146.998
68,165,8139.976
69,165,8125.584
70,165,8104.79
71,165,8076.745
72,165,8042.872
73,165,8003.098
74,165,7955.974
75,165,7901.504
76,165,7842
77,165,7777
63,166,8055
64,166,8097
65,166,8112.929
66,166,8137.313
67,166,8135.532
68,166,8141.992
69,166,8118.98
70,166,8112.427
71,166,8074.175
72,166,8056.438
73,166,8004.971
74,166,7974.921
75,166,7910
76,166,7866.378
77,166,7788
78,166,7733
63,167,8037
64,167,8075
65,167,8101
66,167,8121.028
67,167,8130.415
68,167,8131.779
69,167,8122.613
70,167,8106.226
71,167,8083.021
72,167,8054.184
73,167,8018.861
74,167,7976.676
75,167,7929
76,167,7873.979
77,167,7812.863
78,167,7745
64,168,8060
65,168,8081
66,168,8112.563
67,168,8116.85
68,168,8129.634
69,168,8114.982
70,168,8111.855
71,168,8080.35
72,168,8065.553
73,168,8019.428
74,168,7993.916
75,168,7935.12
76,168,7895.914
77,168,7824
78,168,7773.784
64,169,8035
65,169,8067
66,169,8094.798
67,169,8109.103
68,169,8117.052
69,169,8114.501
70,169,8104.489
71,169,8086.292
72,169,8061.778
73,169,8030.957
74,169,7994.537
75,169,7951.257
76,169,7901.276
77,169,7845.521
78,169,7783
79,169,7716
65,170,8045
66,170,8083
67,170,8093.831
68,170,8111.994
69,170,8105.545
70,170,8106.639
71,170,8081.691
72,170,8070.875
73,170,8030.296
74,170,8008.962
75,170,7955.092
76,170,7921.137
77,170,7854
78,170,7808.273
79,170,7729
65,171,8028
66,171,8062
67,171,8083.642
68,171,8097.781
69,171,8101.923
70,171,8097.913
71,171,8084.691
72,171,8066.068
73,171,8039.791
74,171,8008.115
75,171,7969.412
76,171,7924.152
77,171,7873.595
78,171,7816.624
79,171,7754.121
80,171,7685
66,172,8049
67,172,8065
68,172,8090.444
69,172,8091.073
70,172,8097.457
71,172,8078.263
72,172,8071.751
73,172,8037.705
74,172,8020.175
75,172,7971.592
76,172,7942.129
77,172,7881
78,172,7839.212
79,172,7766
80,172,7713.757
66,173,8026
67,173,8052
68,173,8074
69,173,8084.479
70,173,8087.456
71,173,8079.058
72,173,8066.016
73,173,8044.064
74,173,8018.333
75,173,7983.906
76,173,7944.033
77,173,7898.087
78,173,7845.413
79,173,7788.163
80,173,7724
67,174,8032
68,174,8064
69,174,8070.672
70,174,8083.876
71,174,8071.482
72,174,8068.545
73,174,8040.452
74,174,8027.256
75,174,7985.094
76,174,7959.466
77,174,7902.513
78,174,7866.122
79,174,7798
80,174,7749.821
67,175,8016
68,175,8045
69,175,8061.795
70,175,8070.954
71,175,8069.169
72,175,8060.774
73,175,8044.445
74,175,8024.112
75,175,7994.816
76,175,7960.725
77,175,7918.105
78,175,7869.415
79,175,7817.818
80,175,7759.325
68,176,8033
69,176,8045.137
70,176,8064.1
71,176,8059.049
72,176,8061.366
73,176,8038.67
74,176,8030.112
75,176,7993.97
76,176,7972.678
77,176,7921.433
78,176,7888.958
79,176,7825
80,176,7782.632
81,176,7708
68,177,8013
69,177,8035
70,177,8049.989
71,177,8053.478
72,177,8051.886
73,177,8040.878
74,177,8025.035
75,177,8001.222
76,177,7972.397
77,177,7934.632
78,177,7892.489
79,177,7843.887
80,177,7789.922
81,177,7732.096
69,178,8016
70,178,8042.857
71,178,8042.083
72,178,8049.493
73,178,8034.216
74,178,8029.308
75,178,7998.157
76,178,7981.923
77,178,7936.549
78,178,7908.255
79,178,7849.524
80,178,7811.368
81,178,7742
82,178,7690.866
69,179,8002
70,179,8025
71,179,8035.102
72,179,8038.596
73,179,8033.636
74,179,8023.328
75,179,8003.776
76,179,7979.483
77,179,7947.5
78,179,7910.651
79,179,7865.433
80,179,7816.199
81,179,7763.666
82,179,7702
70,180,8014
71,180,8022.088
72,180,8034.981
73,180,8025.9
74,180,8025.488
75,180,8000.004
76,180,7987.431
77,180,7947.633
78,180,7923.611
79,180,7870.156
80,180,7836.078
81,180,7771
82,180,7725.688
70,181,7994
71,181,8012
72,181,8022.052
73,181,8023.418
74,181,8018.059
75,181,8004.11
76,181,7983.442
77,181,7956.572
78,181,7924.088
79,181,7883.835
80,181,7839.679
81,181,7791.931
82,181,7734.258
71,182,7996
72,182,8014.886
73,182,8012.647
74,182,8018.316
75,182,7998.633
76,182,7989.728
77,182,7954.894
78,182,7934.758
79,182,7887.226
80,182,7856.968
81,182,7796.487
82,182,7756.338
71,183,7984
72,183,8000.045
73,183,8006.753
74,183,8008.33
75,183,8001.017
76,183,7985.002
77,183,7961.79
78,183,7933.336
79,183,7898.538
80,183,7859.361
81,183,7815.674
82,183,7762.117
71,184,7967
72,184,7990.732
73,184,7993.763
74,184,8005.087
75,184,7992.788
76,184,7988.696
77,184,7959.198
78,184,7942.562
79,184,7900.194
80,184,7874.368
81,184,7818.681
82,184,7782.692
83,184,7713
72,185,7974
73,185,7986.37
74,185,7992.917
75,185,7991.026
76,185,7981.323
77,185,7963.722
78,185,7939.75
79,185,7909.488
80,185,7874.496
81,185,7835.564
82,185,7786.932
83,185,7732
72,186,7964
73,186,7971.84
74,186,7988.607
75,186,7981.286
76,186,7982.829
77,186,7958.05
78,186,7946.809
79,186,7909.54
80,186,7888.261
81,186,7839.167
82,186,7805.343
83,186,7739.245
72,187,7946
73,187,7963
74,187,7975.12
75,187,7977.947
76,187,7973.776
77,187,7961.558
78,187,7941.317
79,187,7917.305
80,187,7886.986
81,187,7852.458
82,187,7808.363
83,187,7758.155
72,188,7936
73,188,7947
74,188,7969.048
75,188,7966.743
76,188,7973.86
77,188,7954.761
78,188,7947.912
79,188,7914.378
80,188,7899.051
81,188,7853.108
82,188,7824.844
83,188,7764.244
84,188,7724.622
73,189,7938
74,189,7952.715
75,189,7961.804
76,189,7962.995
77,189,7956.039
78,189,7941.477
79,189,7921.987
80,189,7896.942
81,189,7866.196
82,189,7826.48
83,189,7780.98
84,189,7731.096
73,190,7922
74,190,7947.121
75,190,7949.687
76,190,7962.096
77,190,7947.688
78,190,7946.582
79,190,7919.086
80,190,7907.016
81,190,7865.86
82,190,7841.13
83,190,7786.939
84,190,7749.454
74,191,7931
75,191,7943.949
76,191,7950.56
77,191,7948.101
78,191,7938.725
79,191,7924.741
80,191,7903.805
81,191,7877.134
82,191,7841.441
83,191,7800.665
84,191,7753.708
74,192,7924
75,192,7931
76,192,7948.516
77,192,7938.986
78,192,7942.514
79,192,7920.125
80,192,7912.065
81,192,7876.016
82,192,7854.669
83,192,7803.666
84,192,7771.078
75,193,7924
76,193,7936.261
77,193,7938.121
78,193,7933.773
79,193,7924.11
80,193,7907.914
81,193,7884.523
82,193,7853.918
83,193,7817.11
84,193,7774.129
85,193,7727.518
75,194,7911
76,194,7932.01
77,194,7928.475
78,194,7935.957
79,194,7919.032
80,194,7914.643
81,194,7882.951
82,194,7865.416
83,194,7819.025
84,194,7789.296
85,194,7734.658
76,195,7918.658
77,195,7924.902
78,195,7926.567
79,195,7921.392
80,195,7909.329
81,195,7890.727
82,195,7863.94
83,195,7830.748
84,195,7791.1
85,195,7748.121
86,195,7700.307
76,196,7912.248
77,196,7914.163
78,196,7926.544
79,196,7914.861
80,196,7914.373
81,196,7888.289
82,196,7873.4
83,196,7831.9
84,196,7804.773
85,196,7752.051
86,196,7717.99
77,197,7909.018
78,197,7915.984
79,197,7915.661
80,197,7908.643
81,197,7893.505
82,197,7871.298
83,197,7841.636
84,197,7805.535
85,197,7765.96
86,197,7722.294
77,198,7897
78,198,7914.169
79,198,7908.573
80,198,7911.553
81,198,7890.127
82,198,7878.882
83,198,7841.189
84,198,7817.561
85,198,7769.159
86,198,7737.726
77,199,7891.218
78,199,7902.319
79,199,7906.943
80,199,7905.284
81,199,7893.876
82,199,7875.717
83,199,7849.526
84,199,7817.537
85,199,7781.466
86,199,7740.846
87,199,7695.312
78,200,7899.216
79,200,7898.635
80,200,7905.899
81,200,7889.707
82,200,7881.771
83,200,7848.494
84,200,7827.504
85,200,7783.758
86,200,7754.938
87,200,7700.385
78,201,7885.835
79,201,7895.176
80,201,7897.564
81,201,7891.277
82,201,7877.812
83,201,7854.806
84,201,7826.58
85,201,7794.153
86,201,7756.841
87,201,7714.797
78,202,7881
79,202,7886.14
80,202,7896.852
81,202,7886.234
82,202,7882.115
83,202,7852.496
84,202,7834.719
85,202,7794.542
86,202,7769.303
87,202,7718.812
88,202,7684.883
79,203,7880.864
80,203,7887.482
81,203,7886.052
82,203,7877.397
83,203,7857.549
84,203,7832.844
85,203,7803.652
86,203,7770.226
87,203,7731.783
88,203,7689.628
79,204,7870
80,204,7885.545
81,204,7880.022
82,204,7879.931
83,204,7854.32
84,204,7839.045
85,204,7803.552
86,204,7780.642
87,204,7734.687
88,204,7704.156
79,205,7861
80,205,7874.731
81,205,7878.393
82,205,7874.33
83,205,7857.302
84,205,7836.156
85,205,7810.205
86,205,7780.742
87,205,7745.686
88,205,7706.997
80,206,7869.17
81,206,7871.72
82,206,7875.361
83,206,7853.323
84,206,7840.563
85,206,7808.793
86,206,7788.956
87,206,7746.94
88,206,7719.805
89,206,7667.724
80,207,7847.312
81,207,7866.793
82,207,7869.865
83,207,7854.504
84,207,7836.673
85,207,7814.037
86,207,7787.98
87,207,7756.232
88,207,7721.634
89,207,7681.172
80,208,7833
81,208,7847.18
82,208,7867.452
83,208,7849.852
84,208,7839.357
85,208,7811.663
86,208,7794.231
87,208,7756.899
88,208,7732.084
89,208,7684.831
80,209,7812
81,209,7833.365
82,209,7848.647
83,209,7847.985
84,209,7835.187
85,209,7814.763
86,209,7792.115
87,209,7763.686
88,209,7733.033
89,209,7695.847
90,209,7655.464
80,210,7798
81,210,7813.585
82,210,7835.964
83,210,7832.541
84,210,7834.345
85,210,7811.662
86,210,7796.632
87,210,7763.136
88,210,7741.281
89,210,7697.896
90,210,7669.156
81,211,7800
82,211,7817
83,211,7819.77
84,211,7818.783
85,211,7811.354
86,211,7793.941
87,211,7768.443
88,211,7741.066
89,211,7707.176
90,211,7671.711
81,212,7780
82,212,7804.312
83,212,7803.31
84,212,7810.243
85,212,7798.306
86,212,7794.797
87,212,7766.946
88,212,7747.472
89,212,7708.546
90,212,7682.156
91,212,7633.543
82,213,7785.082
83,213,7791.016
84,213,7794.023
85,213,7790.003
86,213,7782.192
87,213,7768.433
88,213,7746.415
89,213,7715.524
90,213,7683.852
91,213,7644.76
82,214,7772.386
83,214,7773.492
84,214,7785.115
85,214,7776.365
86,214,7777.102
87,214,7757.739
88,214,7749.135
89,214,7715.907
90,214,7692.237
91,214,7647.584
82,215,7752
83,215,7761.627
84,215,7768.169
85,215,7767.855
86,215,7763.814
87,215,7753.26
88,215,7739.317
89,215,7719.501
90,215,7693.001
91,215,7657.061
83,216,7743.499
84,216,7758.813
85,216,7752.999
86,216,7758.644
87,216,7742.414
88,216,7737.347
89,216,7711.356
90,216,7697.634
91,216,7659.308
83,217,7731
84,217,7741.281
85,217,7744.612
86,217,7744.403
87,217,7737.774
88,217,7726.921
89,217,7710.324
90,217,7690.547
91,217,7664.579
92,217,7635.026
83,218,7712
84,218,7731.521
85,218,7729.124
86,218,7738.751
87,218,7726.715
88,218,7724.998
89,218,7702.176
90,218,7691.567
91,218,7659.104
92,218,7640.587
84,219,7713
85,219,7720.191
86,219,7723.771
87,219,7721.169
88,219,7714.054
89,219,7700.548
90,219,7683.72
91,219,7661.662
92,219,7636.669
84,220,7702
85,220,7703.81
86,220,7717.248
87,220,7709.74
88,220,7711.684
89,220,7692.315
90,220,7684.589
91,220,7655.089
92,220,7639
85,221,7694
86,221,7701.388
87,221,7703.252
88,221,7701.134
89,221,7690.539
90,221,7676.072
91,221,7656.961
92,221,7634
85,222,7678
86,222,7694.491
87,222,7691.076
88,222,7696.687
89,222,7682.802
90,222,7676.659
91,222,7651
92,222,7638
85,223,7668
86,223,7679
87,223,7683.658
88,223,7685.303
89,223,7679.141
90,223,7668.64
91,223,7651.971
92,223,7632.688
86,224,7671
87,224,7670.775
88,224,7679.917
89,224,7670.14
90,224,7667.712
91,224,7646.925
92,224,7635.203
86,225,7655
87,225,7662.97
88,225,7667.581
89,225,7665.686
90,225,7659.222
91,225,7646.721
92,225,7629.747
93,225,7607.544
86,226,7646
87,226,7649.028
88,226,7661.956
89,226,7655.658
90,226,7657.121
91,226,7641.11
92,226,7631.916
93,226,7605
86,227,7630
87,227,7640.836
88,227,7648.297
89,227,7650.701
90,227,7647.452
91,227,7639.488
92,227,7626.393
93,227,7607.351
86,228,7621
87,228,7627
88,228,7642.421
89,228,7639.191
90,228,7645.074
91,228,7632.204
92,228,7627.455
93,228,7604
94,228,7590.489
87,229,7617.691
88,229,7628.482
89,229,7632.966
90,229,7634.646
91,229,7629.869
92,229,7620.721
93,229,7606.087
94,229,7586.862
87,230,7603
88,230,7621.907
89,230,7621.593
90,230,7630.99
91,230,7621.891
92,230,7620.923
93,230,7601.776
94,230,7590.994
87,231,7593
88,231,7607
89,231,7614.407
90,231,7620.112
91,231,7618.42
92,231,7613.381
93,231,7602.125
94,231,7587.222
95,231,7566
87,232,7578
88,232,7599
89,232,7602.45
90,232,7615.026
91,232,7609.501
92,232,7611.892
93,232,7597
94,232,7588.963
95,232,7564
88,233,7584
89,233,7594
90,233,7602.886
91,233,7604.864
92,233,7603.953
93,233,7596.176
94,233,7583.796
95,233,7567
96,233,7546.002
88,234,7575
89,234,7581
90,234,7596.849
91,234,7594.673
92,234,7600.708
93,234,7589.63
94,234,7584.607
95,234,7563
96,234,7550.681
89,235,7572
90,235,7583.374
91,235,7588.236
92,235,7590.907
93,235,7587.049
94,235,7578.873
95,235,7565
96,235,7548
97,235,7524
89,236,7558
90,236,7576
91,236,7577.504
92,236,7586.477
93,236,7579.209
94,236,7577.913
95,236,7561
96,236,7550
97,236,7523
90,237,7562
91,237,7569.902
92,237,7576.094
93,237,7574.982
94,237,7570.752
95,237,7561
96,237,7546
97,237,7527
98,237,7504
90,238,7554
91,238,7558.87
92,238,7570.12
93,238,7566.214
94,238,7568.354
95,238,7555.578
96,238,7548.203
97,238,7524
98,238,7509
91,239,7550
92,239,7558.557
93,239,7560.561
94,239,7560.311
95,239,7553.681
96,239,7543
97,239,7527
98,239,7507
91,240,7538
92,240,7551.771
93,240,7550.18
94,240,7556.036
95,240,7547.006
96,240,7542.856
97,240,7523
98,240,7510
99,240,7481
92,241,7539
93,241,7544.263
94,241,7546.432
95,241,7543.272
96,241,7536.841
97,241,7524
98,241,7507
99,241,7485
92,242,7532
93,242,7533.397
94,242,7541.321
95,242,7534.984
96,242,7534.497
97,242,7519
98,242,7509.302
99,242,7483
100,242,7465
93,243,7525
94,243,7531.004
95,243,7530.169
96,243,7526.918
97,243,7517.495
98,243,7505
99,243,7486
100,243,7464
93,244,7514
94,244,7524.817
95,244,7521.301
96,244,7523.944
97,244,7511.468
98,244,7505.132
99,244,7483
100,244,7468
94,245,7513.576
95,245,7515.306
96,245,7515.766
97,245,7509.264
98,245,7499.657
99,245,7484
100,245,7465
101,245,7441
94,246,7506.538
95,246,7504.986
96,246,7511.465
97,246,7502.797
98,246,7499.115
99,246,7480
100,246,7468.166
101,246,7440
94,247,7494
95,247,7499
96,247,7501.928
97,247,7498.936
98,247,7493.153
99,247,7480
100,247,7465
101,247,7444
95,248,7487
96,248,7496.731
97,248,7491
98,248,7491.036
99,248,7476
100,248,7465.91
101,248,7442
102,248,7424
95,249,7479
96,249,7485.552
97,249,7486.027
98,249,7483.383
99,249,7474
100,249,7461
101,249,7443
102,249,7422
96,250,7478.94
97,250,7475.961
98,250,7479.95
99,250,7469
100,250,7462.084
101,250,7441
102,250,7426
96,251,7466.724
97,251,7469.264
98,251,7470.502
99,251,7465.881
100,251,7456.89
101,251,7442
102,251,7423
103,251,7400
96,252,7460
97,252,7459
98,252,7465.349
99,252,7457.244
100,252,7456.031
101,252,7438
102,252,7425.76
103,252,7399
97,253,7451
98,253,7454.831
99,253,7452.874
100,253,7448.455
101,253,7438
102,253,7422
103,253,7402
104,253,7379
97,254,7440
98,254,7449.228
99,254,7443.584
100,254,7444.786
101,254,7431
102,254,7423.586
103,254,7400
104,254,7384
98,255,7438
99,255,7437.822
100,255,7435.89
101,255,7428.729
102,255,7417.776
103,255,7402
104,255,7382
105,255,7357
98,256,7432
99,256,7428
100,256,7431.783
101,256,7420.409
102,256,7416.539
103,256,7398
104,256,7385.381
105,256,7357
99,257,7422
100,257,7422.196
101,257,7417.569
102,257,7409.683
103,257,7397
104,257,7381
105,257,7361
99,258,7412
100,258,7418
101,258,7409.669
102,258,7407
103,258,7391
104,258,7382
105,258,7359
106,258,7341
100,259,7407
101,259,7405
102,259,7400
103,259,7390
104,259,7377
105,259,7360
106,259,7339
100,260,7403
101,260,7396
102,260,7397
103,260,7383
104,260,7377
105,260,7357
106,260,7342.424
107,260,7312
101,261,7391
102,261,7388
103,261,7381
104,261,7371.396
105,261,7357
106,261,7339
107,261,7316
101,262,7383
102,262,7385
103,262,7374
104,262,7370
105,262,7352
106,262,7341
107,262,7315
102,263,7376
103,263,7371
104,263,7363
105,263,7352
106,263,7337
107,263,7317
108,263,7295
102,264,7373
103,264,7364
104,264,7361
105,264,7346
106,264,7338
107,264,7315
108,264,7298.239
103,265,7360
104,265,7354
105,265,7344
106,265,7332.652
107,265,7316
108,265,7295
109,265,7271
103,266,7351
104,266,7352
105,266,7339
106,266,7332
107,266,7312
108,266,7298
109,266,7270
104,267,7343
105,267,7337
106,267,7327
107,267,7312
108,267,7295
109,267,7273
110,267,7245
104,268,7338
105,268,7329
106,268,7325
107,268,7308
108,268,7297
109,268,7271
110,268,7250
105,269,7325
106,269,7317
107,269,7308
108,269,7293
109,269,7273
110,269,7249
105,270,7316
106,270,7315
107,270,7300
108,270,7294
109,270,7270
110,270,7253
106,271,7307
107,271,7298
108,271,7286
109,271,7272
110,271,7252
106,272,7304
107,272,7291
108,272,7284
109,272,7266
110,272,7254
111,272,7226
106,273,7296
107,273,7288
108,273,7277
109,273,7264
110,273,7248
111,273,7229
107,274,7282
108,274,7276
109,274,7259
110,274,7249
111,274,7225
107,275,7278
108,275,7270
109,275,7258
110,275,7243
111,275,7227
108,276,7268
109,276,7252
110,276,7243
111,276,7222
108,277,7262
109,277,7251
110,277,7237
111,277,7221
112,277,7204
109,278,7246
110,278,7237
111,278,7217
112,278,7206
109,279,7244
110,279,7232
111,279,7218
112,279,7201
110,280,7232
111,280,7214
112,280,7203
110,281,7228
111,281,7214
112,281,7198
111,282,7210
112,282,7200
111,283,7210
112,283,7196
113,283,7178
112,284,7197
113,284,7176
112,285,7195
113,285,7177
114,285,7158
113,286,7174
114,286,7161
113,287,7176
114,287,7158
115,287,7137
114,288,7161
115,288,7136
114,289,7159
115,289,7139
116,289,7116
115,290,7137
116,290,7120
115,291,7140
116,291,7119
117,291,7096
116,292,7123
117,292,7096
118,293,7074
