Z,A,BINDING ENERGY / A (keV)
23,51,8742.051
24,51,8711.954
25,51,8633.723
26,51,8461.147
27,51,8192
28,51,7866
18,52,7858
19,52,8097
20,52,8395.59
21,52,8531.457
22,52,8691.571
23,52,8714.535
24,52,8775.944
25,52,8670.294
26,52,8609.598
27,52,8317
28,52,8086
29,52,7686
18,53,7719
19,53,8017
20,53,8302
21,53,8471
22,53,8630.132
23,53,8710.088
24,53,8760.155
25,53,8734.133
26,53,8648.757
27,53,8477.382
28,53,8212
29,53,7897
19,54,7896
20,54,8224
21,54,8400.753
22,54,8596.924
23,54,8662.002
24,54,8777.914
25,54,8737.923
26,54,8736.344
27,54,8569.209
28,54,8391.781
29,54,8053
30,54,7758
19,55,7806
20,55,8116
21,55,8310.432
22,55,8516.021
23,55,8637.817
24,55,8731.884
25,55,8764.988
26,55,8746.56
27,55,8669.575
28,55,8497.315
29,55,8234
30,55,7916
20,56,8032
21,56,8229
22,56,8459.266
23,56,8572.855
24,56,8723.191
25,56,8738.3
26,56,8790.323
27,56,8694.817
28,56,8642.709
29,56,8355
30,56,8112
31,56,7723
20,57,7922
21,57,8146
22,57,8357.848
23,57,8530.874
24,57,8663.384
25,57,8736.723
26,57,8770.249
27,57,8741.858
28,57,8670.901
29,57,8503.274
30,57,8235
31,57,7925
21,58,8050
22,58,8305
23,58,8454.33
24,58,8641.29
25,58,8698.01
26,58,8792.221
27,58,8738.947
28,58,8732.041
29,58,8570.869
30,58,8395.926
31,58,8067
32,58,7784
21,59,7963
22,59,8207
23,59,8394.581
24,59,8564.795
25,59,8680.146
26,59,8754.743
27,59,8768.013
28,59,8736.57
29,59,8641.981
30,59,8474.539
31,59,8239
32,59,7935
21,60,7864
22,60,8145
23,60,8314.372
24,60,8533.443
25,60,8631.637
26,60,8755.831
27,60,8746.745
28,60,8780.757
29,60,8665.585
30,60,8583.273
31,60,8334
32,60,8117
33,60,7748
22,61,8046
23,61,8258
24,61,8454.995
25,61,8595.859
26,61,8703.782
27,61,8756.154
28,61,8765.009
29,61,8715.507
30,61,8610.253
31,61,8445.706
32,61,8214
33,61,7944
22,62,7982
23,62,8175
24,62,8420.321
25,62,8530.674
26,62,8693.248
27,62,8721.448
28,62,8794.549
29,62,8718.249
30,62,8679.398
31,62,8518.86
32,62,8349
33,62,8058
22,63,7881
23,63,8118
24,63,8337
25,63,8496.595
26,63,8630.124
27,63,8717.619
28,63,8763.489
29,63,8752.134
30,63,8686.279
31,63,8583.926
32,63,8419
33,63,8198
23,64,8031
24,64,8296
25,64,8431.599
26,64,8609.28
27,64,8675.525
28,64,8777.467
29,64,8739.07
30,64,8735.898
31,64,8611.654
32,64,8529.361
33,64,8285
23,65,7968
24,65,8210
25,65,8396.148
26,65,8541.116
27,65,8656.649
28,65,8736.246
29,65,8757.096
30,65,8724.259
31,65,8662.154
32,65,8554.079
33,65,8397
34,65,8169
24,66,8163
25,66,8324
26,66,8514.234
27,66,8601.438
28,66,8739.508
29,66,8731.472
30,66,8759.636
31,66,8669.373
32,66,8625.701
33,66,8460.482
34,66,8300
24,67,8075
25,67,8278
26,67,8449.695
27,67,8577.85
28,67,8695.75
29,67,8737.447
30,67,8734.154
31,67,8707.54
32,67,8632.85
33,67,8531.472
34,67,8368
35,67,8152
25,68,8204
26,68,8406.422
27,68,8515.833
28,68,8682.466
29,68,8701.89
30,68,8755.682
31,68,8701.22
32,68,8688.151
33,68,8557.814
34,68,8477.42
35,68,8237
25,69,8155
26,69,8333
27,69,8489.857
28,69,8623.099
29,69,8695.203
30,69,8722.731
31,69,8724.578
32,69,8680.962
33,69,8611.451
34,69,8501.777
35,69,8348
36,69,8133
26,70,8294
27,70,8421.601
28,70,8603.377
29,70,8646.861
30,70,8729.806
31,70,8709.279
32,70,8721.717
33,70,8621.684
34,70,8577.695
35,70,8415
36,70,8264
26,71,8221
27,71,8391.74
28,71,8540.304
29,71,8635.022
30,71,8689.014
31,71,8717.62
32,71,8703.326
33,71,8663.949
34,71,8585.635
35,71,8489.362
36,71,8335.526
37,71,8119
26,72,8182
27,72,8324
28,72,8516.242
29,72,8586.525
30,72,8691.609
31,72,8687.104
32,72,8731.745
33,72,8660.378
34,72,8644.854
35,72,8510.665
36,72,8429.323
37,72,8199
27,73,8289
28,73,8454
29,73,8568.557
30,73,8645.837
31,73,8693.873
32,73,8705.049
33,73,8689.663
34,73,8641.425
35,73,8567.849
36,73,8460.184
37,73,8306
38,73,8098
27,74,8222
28,74,8429
29,74,8521.562
30,74,8642.107
31,74,8663.166
32,74,8725.2
33,74,8680
34,74,8687.708
35,74,8583.803
36,74,8533.034
37,74,8381.726
38,74,8220
27,75,8183
28,75,8365
29,75,8490.407
30,75,8591.299
31,75,8660.808
32,75,8695.602
33,75,8700.85
34,75,8678.907
35,75,8628.076
36,75,8553.439
37,75,8448.315
38,75,8296.551
28,76,8331
29,76,8443.527
30,76,8580.083
31,76,8624.526
32,76,8705.238
33,76,8682.792
34,76,8711.478
35,76,8635.883
36,76,8608.815
37,76,8486.225
38,76,8393.879
39,76,8179
28,77,8264
29,77,8408
30,77,8529.135
31,77,8613.39
32,77,8671.044
33,77,8695.981
34,77,8694.691
35,77,8666.808
36,77,8616.836
37,77,8537.261
38,77,8435.926
39,77,8284
28,78,8230
29,78,8354
30,78,8505.576
31,78,8577.135
32,78,8671.665
33,78,8673.881
34,78,8717.808
35,78,8661.96
36,78,8661.256
37,78,8558.361
38,78,8500.096
39,78,8354
40,78,8205
29,79,8320
30,79,8450
31,79,8555.58
32,79,8634.019
33,79,8676.622
34,79,8695.593
35,79,8687.6
36,79,8657.118
37,79,8601.147
38,79,8523.816
39,79,8423.786
40,79,8275
29,80,8243
30,80,8425.997
31,80,8507.347
32,80,8627.318
33,80,8650.59
34,80,8710.819
35,80,8677.659
36,80,8692.917
37,80,8611.642
38,80,8578.555
39,80,8455.145
40,80,8374.107
30,81,8351
31,81,8487.744
32,81,8580.801
33,81,8648.056
34,81,8686.005
35,81,8695.918
36,81,8682.793
37,81,8645.49
38,81,8587.348
39,81,8509.661
40,81,8407.053
41,81,8261
30,82,8303
31,82,8423
32,82,8566.304
33,82,8614.08
34,82,8693.198
35,82,8682.468
36,82,8710.647
37,82,8647.431
38,82,8635.698
39,82,8530.84
40,82,8473
41,82,8326
30,83,8226
31,83,8374
32,83,8503
33,83,8602.199
34,83,8658.557
35,83,8693.327
36,83,8695.621
37,83,8675.269
38,83,8638.381
39,83,8575.113
40,83,8494.988
41,83,8395.201
42,83,8251
31,84,8308
32,84,8467
33,84,8551
34,84,8658.841
35,84,8671.522
36,84,8717.347
37,84,8676.117
38,84,8677.444
39,84,8590.916
40,84,8550
41,84,8426
42,84,8344
31,85,8257
32,85,8401
33,85,8513
34,85,8610.476
35,85,8674.001
36,85,8698.562
37,85,8697.441
38,85,8675.71
39,85,8628.148
40,85,8563.732
41,85,8483.94
42,85,8380
43,85,8236
31,86,8189
32,86,8360
33,86,8459
34,86,8582.256
35,86,8632.45
36,86,8712.027
37,86,8696.901
38,86,8708.461
39,86,8638.434
40,86,8612.137
41,86,8510.272
42,86,8439.896
43,86,8299
32,87,8292
33,87,8418
34,87,8530.882
35,87,8605.51
36,87,8675.282
37,87,8710.983
38,87,8705.239
39,87,8674.848
40,87,8623.665
41,87,8555.305
42,87,8471.735
43,87,8364
44,87,8220
32,88,8243
33,88,8361
34,88,8494.935
35,88,8563.931
36,88,8656.859
37,88,8681.115
38,88,8732.596
39,88,8682.54
40,88,8665.968
41,88,8571.282
42,88,8524.062
43,88,8402
