Data Set  & $T$ & $\sigma_{init}$ & $C$ & $\epsilon$ \\ 
\hline 
Glass & 100 & 5.00 & 6.16 & 76.47  \\ 
Liver & 100 & 3.00 & 13.10 & 73.33  \\ 
Vowel & 100 & 2.00 & 10.00 & 56.49  \\ 
