Data Set & $C_{min}$ & $C_{max}$ & $\sigma_{min}$ & $\sigma_{max}$ & $C$ & $\sigma$ & $\epsilon$ \\ 
\hline
Glass & 3.34 & 10.03 & 1.66 & 4.97 & 6.16 & 4.97 & 68.89 \\ 
Liver & 4.53 & 13.58 & 0.18 & 0.55 & 13.10 & 0.22 & 74.00 \\ 
Vowel & 3.82 & 11.45 & 0.55 & 1.66 & 8.23 & 1.25 & 96.02 \\ 
